x,y,labels,Headline
8.78619,3.6280546,278,ඡන්දය දවසේ අගවිනිසුරු අරලියගහ මන්දිරයේ සිටියා දැයි කල්පනාවක් නැහැ.- ගම්මන්පිල.
9.899881,3.163942,316,සිරිසේනයෝ කියලා බැන්න අය දැන් කියනවා මේ අපේ ජනාධිපතිතුමාලු.හරිම තුච්ච දේශපාලනයක්.
8.79611,3.9407318,278,ජනතා සහන දිගටම - අගමැති.
9.989202,3.1172755,316,ඉස්සෙල්ලා අපි සහන දෙමු. ඊට පස්සේ හොරු අල්ලමු.
11.30872,8.468004,28,Update: හැව්ලොක්සිටි සිව් හැවිරිදි දැරියගේ මරණයට හේතුව.
11.102934,8.399897,28,Update: ශිරන්ති රාජපක්ෂට සහ යෝෂිත රාජපක්ෂට එරෙහිව පැමිණිලි දෙකක්.
10.990181,8.267394,28,Update: අගවිනිසුරු ධුරයේ වැඩ ඇරඹූ ශිරාණි බණ්ඩාරනායක හෙට විශ්රාම යයි.
8.29947,5.3377886,135,උඩුවේ හිමිගේ විහාරයේ හොර අලි පැටියෙක්
11.56647,4.7690845,308,"Update: රාජ්ය සේවක වැටුප 10,000 කින් ඉහළට, භූමිතෙල්, ගෑස් හා සිමෙන්ති මිලත් පහළට."
13.612013,10.037274,233,ඊයේ සිට රිය අනතුරුවලින් 6ක් මරුට
11.311263,8.487941,28,Update: අදත් අලි 3 ක් පරීක්ෂා කරලා
11.109556,8.342394,28,Update: කල් ගිය ඡන්දය පෙබරවාරි 28
11.153254,8.40767,28,Update: වත්තල ප්රා.දේ. සභාවේ ගුටි කෙළියට 3ක් කොටුවෙයි
11.090474,8.458135,28,Update: අගමැතිගේ ඉල්ලීමෙන් මැතිසබය සඳුදා කැදවයි
11.091189,8.409572,28,Update : නිදහස් සැමරුමට ජනාධිපතිවරයා ඇතුළු සම්භාවනීය අමුත්තන් පැමිණේ
4.5513663,1.3246284,76,කේ.පි.ට රටින් පිට වීම තහනම්
8.637252,1.6200497,261,අතුරුදන්වූවන් සොයන කොමිසම කල්මරයි
8.422663,4.0340867,278,මට සාධාරණයක් ඉටු වූයේ නැහැ - විපක්ෂ නායක
7.5045767,3.801621,190,ළමා අයිතිවාසිකම් සහ වරප්රසාද ගැන ජනපති කතා කරයි
13.645733,10.012623,233,ප්රදේශ කිහිපයක රිය අනතුරුවලින් 4 දෙනෙකු මරුට
7.425875,3.8059835,190,අසත්ය පුවතක් ගැන ඇමති දුමින්ද කථා කරයි
7.6985354,4.6672616,190,රුපියල අවප්රමාණවීමට කඩිනමින් විසඳුම් අවශ්යයි ජනපති කියයි
13.292023,1.113211,291,කොල්ලුපිටියේ නිවසකින් කාන්තා මළ සිරුරක් හමුවේ
7.484871,3.9399927,190,පරිසර අමාත්යංශය පවරාගත් හේතුව ජනපති හෙළි කරයි
7.6278176,3.555161,278,භාරකාර ආණ්ඩුවක් ගැන තවමත් අදහසක් නැහැ - සන්ධාන මහලේකම්
11.45056,6.4543643,246,කම්කරු අමාත්යාංශය වැටලීමට අන්තර් සමාගම් සේවක සංගමය සැරසේ
7.3678617,3.894734,190,තනි ආණ්ඩුවක් පිහිටුවන හැටි එජාපය පැහැදිලි කරයි
13.33615,1.1476555,291,වැල්ලවත්ත වෙරළ තීරයේ තිබී පුද්ගල සිරුරක් හමුවේ
4.6512384,1.369643,76,ආන්දෝලනාත්මක ජනාධිපති සහ හිටපු ජනාධිපති හමුව ගැන එස්.බී. දිසානායකගෙන් නිවේදනයක්
7.5897155,1.7588786,187,මන්ත්රී චන්දිම වීරක්කොඩි උද්ඝෝෂණයකට මැදිවෙයි
7.4158072,4.5073314,190,ආණ්ඩුවේ අස්ථාවරත්වය තහවුරු වී ඇතැයි හිටපු ජනපති කියයි
13.819971,9.923148,233,කොස්ගොඩ රිය අනතුරකින් තරුණයෙක් මරුට
6.7884955,3.4637537,278,අයවැයට විරුද්ධ වීමට සැරසෙන දෙමළ ජාතික සන්ධානය
7.7304487,1.9589785,187,ඒකාබද්ධයේ මන්ත්රීවරුගෙන් කුමාර වෙල්ගමට දරුණු ප්රහාරයක්
11.643971,5.963286,229,"සීගිරියේ විරෝධතාවක්, ගලේවෙල අධ්යාපන නිලධාරීන් පිරිසක් නිවාස අඩස්සියේ"
4.5027676,1.2408538,76,"ඩී.අයි.ජී. නාලක ද සිල්වා, අද සී.අයි.ඩී.යට"
7.014682,3.365952,278,"ගම්පෙරළිය ගැන කතා කරන්න, නිදහස් පක්ෂය රැස්වෙයි - 15 කණ්ඩායම වර්ජනයේ"
4.3815966,1.2344327,76,සී.අයි.ඩී.යට කැදවූ ඩී.අයි.ජී. නාලක නොපැමිණේ
11.519104,4.9399285,308,ඉන්ධන මිල සූත්රය නිකුත් කරයි
7.397053,3.899463,190,ජනපති සහ ඉන්දියාව අතර ගැටුමක් ඇති කිරීමේ කුමන්ත්රණයක් ගැන 15 කණ්ඩායම හෙළි කරයි
7.021243,3.484572,278,ලබන මාසයේ තවත් වෙනසක් - සන්ධානය හෙළිකරයි
13.786316,9.86037,233,පාදුක්කේ සහ මොරගහහේන මාර්ග අනතුරුවලින් දෙදෙනෙකු මරුට
7.580369,1.6906897,187,මන්ත්රී වාසුගෙන් හෙළිදරව්වක්
7.339706,3.4203792,190,පාර්ලිමේන්තු මන්ත්රී මාවෙයි විඳවන පාපය
7.4954324,3.994432,190,තමන් ගැන හොයන්නැයි සුජීව සේනසිංහ ජනපති කොමිසමට කියයි
11.518344,5.010298,308,බදු ඉවත් කළහොත් පෙට්රල් ලීටරයක් 101 යි - ගම්මන්පිළ
11.5690565,1.831872,320,බිරිඳගේ අනියම් පෙමට සැමියාගෙන් පිහි ප්රහාරයක්
12.148476,6.705505,246,ඇඹිලිපිටියේ බස් වර්ජනය තවමත්
11.51701,4.7160745,308,"කොරෝනා පාලනය සඳහා යොදාගන්නා ඖෂධවල, අමුද්රව්ය මිල ඉහළට"
13.494118,5.528532,183,සංචරණ සීමා අදත්
6.2529435,6.5630636,35,විශ්ව රූ රැජින කිරුළ මෙක්සිකානු ජාතික ඇන්ඩ්රියා මේසා හිමිකර ගනී 
4.042926,0.9767469,76,මන්ත්රීවරු දෙදෙනෙකු ඇතුලු 10කට එල්.ටී.ටී.ඊ. සැමරුම් තහනම්
6.0404735,6.64127,35,ෂම්මි සිල්වා නැවතත් ක්රිකට් මහ පුටුවට 
9.834821,3.786182,283,ඇඟළුම් කොරෝනා පොකුරක් නිර්මාණය වූයේ කෙසේද? විශේෂ විමර්ශනයක් 
7.736922,2.0087695,187,අධිකරණ ඇමතිගෙන් ඉල්ලීමක් 
13.406771,5.5344367,183,සංචරණ සීමා සැලැස්මේ කිසිදු වෙනසක් නැහැ - නීති කඩන්නන් සොයා අදත් මෙහෙයුම්
13.413546,5.4743896,183,සංචරණ සීමා ලිහිල් කිරීම තීරණාත්මක සාකච්ඡාව ඇරඹෙයි
11.141388,8.419842,28,Update : සමන් ලාල් ප්රනාන්දු අත්අඩංගුවට
8.482676,5.5459566,135,කොවිඩ් නියුමෝනියා වැළඳුණු බද්දේගම සමිත හිමියන් අපවත් වෙයි
12.943435,1.2614754,291,කොවිඩ් මල සිරුරු මත ගොඩ නැගුණු ව්යාපාරයට පිලියමක් 
5.9703083,6.7065887,35,බංග්ලාදේශ දඟ පන්දු පුහුණුකරු තනතුර හේරත්ට හිමිවන ලකුණු
4.574903,1.3096733,76,ඩී.එස්. සේනානායක විදුහලේ ඉඩම් පවරා ගැනීම නවතී 
7.4764757,3.7352428,190,රනිල් දයාසිරි ගැන කථා කරයි.
9.826702,3.6163707,283,ජල දූෂණයටත් අලූත් අමාත්යාංශයක් ?
4.2209506,1.1500686,76,ඡන්ද පත්රිකාවලට සී.සී. ටීවී. කැමරා.
6.8232827,3.3505538,278,දෙමළ සන්ධානය ඇමරිකාවට.
13.861267,9.785413,233,රඹුක්කන - දළුග්ගල රිය අනතුරකින් තුන්දෙනෙකු මරුට.
7.469655,3.8626075,190,කිරිගොවීන්ට ඇති ගැටළුවක් ඇමති ඩිලාන් හෙළි කරයි.
13.8588915,9.823229,233,පැල්වත්තේ රිය අනතුරකින් කාන්තාවක් ජීවිතක්ෂයට.
11.055896,2.8889782,320,අත්කම් නිෂ්පාදකයා හලාවත කුළුණකට නගී.
13.959228,9.589979,233,තඹුත්තේගම - කුරුණෑගල මාර්ගයේ සිදුවු අනතුරින් මියගිය ගණන 03 ක්.
7.5821185,3.9500735,190,මහ මැතිවරණයක් ගැන රනිල් ඉන්දියාවේදී කියයි.
4.6432843,1.5289946,76,ඇමති ජී.එල්. අද ඉන්දීය අගමැති හමුවෙයි.
13.78243,9.968747,233,ගොඩිගමුවේ අනතුරකින් දෙදෙනෙකු මරුට.
7.8053617,2.1212735,187,ඇමති මිත්රපාලගෙන් මහ ඇමති මහීපාලට දැඩි චෝදනා.
6.3848042,3.1557117,278,TNA මන්ත්රීවරුන් දෙදෙනෙකු නිදහස් පක්ෂයට.
8.686954,4.1337504,278,දේශීය ගොවීන් විශ්වාසයි. - ජනපති.
11.251436,1.3312329,320,බීමතින් පැමිණ පුතු පිළිස්සූ පියෙකු අත්අඩංගුවට.
4.6316924,1.4485397,76,සුනඛ විවාහය ගැන ඇමති ටී.බී. කණස්සල්ලෙන්.
6.6535406,6.3634872,35,ගඩාෆිගේ පුත්රයා බ්රිතාන්යයේ සහාය පතයි.
12.438076,6.504561,246,බලය අද රාත්රියේ.
8.388208,1.9188348,261,update:- බැදුම්කර වාර්තාව ගැන මීළඟ තීරණය ලබන සඳුදා
8.687304,1.760649,261,Update :බැදුම්කර සහ මහා පරිමාණ වංචා පිළිබඳ වාර්තා කතානායකට
8.6496315,1.9389001,261,බැඳුම්කර වංචාවේ දෙවන මෙහෙයුම
11.533204,6.5236006,246,විදුලි සේවක වෘත්තීය සමිති ගත් තීරණය
11.364653,1.8061196,320,මිත්තණියට එල්ලකළ අමානුෂික ප්රහාරයට මැදිවූ සිව් හැවිරිදි දැරිය මරුට 
13.824281,9.919656,233,ගොකරැල්ලේ රිය අනතුරකින් දෙදෙනෙක් මරුට
10.012434,3.5552726,283,රටම කැළඹූ කතරගම වෙඩිතැබීමට හේතුව ?
12.056979,6.7964005,246,දුම්රිය වර්ජනය අවසන්
7.320745,4.1651645,190,සූක්ෂමව හොරකම් කරන හැටි ජවිපෙ කියයි
4.424819,1.3145537,76,භූමිතෙල් ජාවාරම ගැන ඇමති සීරුවෙන්
7.4380913,4.6004376,190,තමාට අනවශ්ය ප්රසිද්ධියක් ලබාදෙන බව හිටපු ජනපති කියයි
4.64398,1.4838258,76,බැඳුම්කර වාර්තාව ගැන යූ.එන්.පී.යට සඟවන්න දෙයක් නැහැ - අගමැති
7.7434816,0.55141836,268,අඹගමුව ප්රාදේශීය සභාව කොටස් 03 කට බෙදීමට එරෙහි පෙත්සම නිෂ්ප්රභයි
7.469754,3.689468,190,මාරපන කමිටු නිර්දේශ ගැන ඒකාබද්ධය කතා කරයි
8.493994,4.172659,278,වත්මන් පාලනය උතුරේ කිසිදු සංවර්ධනයක් කර නැහැ - හිටපු ජනපති
7.069544,4.0938535,190,මහින්දගේ ප්රජා අයිතිය රකින බව නිදහස් පක්ෂය කියයි
4.2644463,1.1687719,76,"අලි ජාවාරම්කරුවන් ගැන, රහස් හඬ පටයක් සී.අයි.ඩී.යට."
7.471903,0.719197,268,නිදහස් පක්ෂ මහලේකම්ගෙන් ශ්රේෂ්ඨාධිකරණයට පෙත්සමක්
7.3755846,4.5318313,190,ඉඩම් ගැටලුව විසඳීමට අධිකරණයට භාර කරන බව අගමැති කියයි
7.3308992,4.4661117,190,සාක්ෂි දීමට සූදානම් බව හිටපු ජනපති කියයි
11.494414,6.5569415,246,දෙවන දිනටත් ජල සේවකයින් වර්ජනයේ
8.677482,1.7065493,261,"බැඳුම්කර සහ බරපතල වංචා, දූෂණ වාර්තා පිළිබද විවාදය ඇරඹේ"
8.405415,3.8351738,278,ජනතාව දුන් බලය ආණ්ඩුව අයුතු ලෙස භුක්ති විඳිනවා - අනුර කුමාර
5.9048595,6.7593207,35,කඩිනම් වූ එක්දින සේවාව
10.2733135,2.7970507,316,තෙවරප්පෙරුම එළියට ඇවිත් කළ දේ
4.1673965,1.2452924,76,කොළඹ යළි සුනඛ සංගණනක්
7.310343,4.415839,190,ජනපති ඡන්දය ප්රකාශ කරයි
10.221217,3.0404685,316,වමේ විකල්පය අතෙන් එන්න සුදානම්
11.415144,1.9535158,320,පාපැදියේ අනියම් ඇසුර දුම්රියෙන් නවතියි
7.4651113,4.0654616,190,කුමන්ත්රණයක් ගැන හිටපු ජනපති කියයි
11.092259,2.7978578,320,දෙයියන්ට හොරෙන් දෙහිවල දේවාල 5ක් බිදී
4.585797,1.4378943,76,"\""විපක්ෂ නායකවරයා ඇතුලූ කණ්ඩායම පාලනයට ජනපති අසමත් වෙලා\"" - යූ.එන්.පී."
8.48494,4.1624117,278,සංවර්ධනය දෙස ඇතැමුන් ඊර්ෂ්යාවෙන් බලනවා. - හිටපු ජනපති
11.12119,8.392987,28,Update : වාස් ගුණවර්ධනට වසර දෙකකට පසු ඇප
5.9085674,6.7575088,35,ශ්රී ලංකා - පාකිස්ථාන තරඟය දෙවන දිනය අදයි
11.299184,8.461917,28,Update: බිළිඳා ඝාතනයකර වළදාලා - මව අත්අඩංගුවට
11.500484,4.62449,308,ආනයනික පරිප්පු හා තෙල් සඳහා බදු සංශෝධනය
4.9859166,1.4839585,76,"ජී.එල්, බන්දුල සහ වෙල්ගම පොලිසියට"
11.445966,8.550297,28,Update: වැසිකිලි වලකට වැටුණු කාන්තාවක් සහ බේරා ගැනීමට ගිය 3 දෙනෙකු මරුට
6.490816,3.3401349,278,පෙරටුගාමී පක්ෂයේ නියෝජිතයන් බන්ධනාගාරයට
11.155867,8.318889,28,Update: මාතර වෙරළේ රළ පෑගීම සහ ස්නානය තහනම්
8.779462,3.59468,278,මහින්ද ගෙදර ගියේ බටහිර කුමන්ත්රණයකින් - ප්රසන්න
11.103086,8.330492,28,Update: අගමැතිගෙන් අනිද්දා පාර්ලිමේන්තුවට විශේෂ ප්රකාශයක්
8.812654,3.6467903,278,යෝජිත 20ට ජවිපෙ එකඟ නෑලූ
8.538853,3.8534713,278,විප්ලවය අවසන් නැහැ - අගමැති රනිල්
11.501938,6.5442424,246,මෑන් පවර් සේවකයන් යළි වෘත්තීය ක්රියාමාර්ගයකට සැරසේ
8.431277,4.0196414,278,රටේ ආරක්ෂාව අනතුරක. - විපක්ෂ නායක
13.19548,1.173636,291,හිමිනමකගේ සිරුරක් තේ වත්තක
11.102495,8.328959,28,Update: නිමල්ගේ විරෝධය ප්රතික්ෂේපයි - කල් තැබීමේ විවාදයට අවසර
4.335192,1.1876152,76,20 අසාධාරණයක් - එස්.එෆ්
8.445867,4.0974417,278,පීඩනයෙන් මිදෙන්න - හිටපු ජනපති මහින්ද
8.673639,3.7331803,278,මහින්ද තරග කරනවා - අපි එන්නෙත් ඒ පෙරමුණෙන්
8.488189,3.798443,278,ජනතා පොරොන්දු ඉටුවී නැහැ - ජවිපෙ
11.253717,8.484682,28,Update: නිවිතිගල ඝාතනයට 6ක් ඇවිත් - පසුපැදිකරු හෙළි කරයි
9.633195,3.4964147,283,චන්ද්රිකාත් මහමැතිවරණයට ?
10.030011,3.1397905,316,පක්ෂය එකටලු - ජනතාවත් රටත් දෙකටලු
10.0458,3.0584912,316,රජ කෙනෙක් වුණත් වැරදි කෙරුවොත් ගෙදර යන්න ඕන
4.4730854,1.3172868,76,ඊ.පී.ඩී.පී ය තනි වෙයි
8.643542,3.5796673,278,සන්ධානයේ පරාජය නළලේ කොටලා. - ජවිපෙ
13.189044,1.1355242,291,මාතරින් සහ නාරම්මලින් පුද්ගල මළ සිරුරු දෙකක්
4.370748,1.2108641,76,මහින්දගේ උපන්දිනය ටී.බී. ඒකනායකට පැටලෙයි
10.369962,2.8993802,316,ඩලස්ගේ තැන ජනවාරි 9ය ලු දැනගත්තේ
11.0976925,8.431153,28,Update: ඩිව් කරඇත්තේ මහා වංචාවක් - අගමැති
10.735502,2.7228122,316,නිවසත් කොල්ලකාලා අයිතිකරයාවත් පළමු මහලෙන් බිමට වට්ටලා
11.142892,8.394423,28,Update: සුරාසැල් වැසෙන්නේ එක දවසලූ
11.149076,8.276908,28,Update: තැපැල් ඡන්දය 5 සහ 6 - අමතර දිනය අගෝස්තු 3
11.494738,1.9277633,320,බිරිඳ ගැන අහන්න ගිය සැමියාට ගුටි
8.492634,4.334141,278,මේ දේශපාලන බලවේගය ජනවාරි 8 විප්ලවය තහවුරු කිරීම වෙනුවෙන් - අගමැති
10.400866,2.8259437,316,කෝච්චිය එද්දී සෙල්ෆි ගහන්න ගිහින් වෙච්ච දෙයක්
8.783634,1.8228387,261,දුෂණ අක්රමිකතා ගැන විමර්ශන වාර්තාවක් උතුර පළාත් සභාවට
7.455634,3.7365866,190,ඇමති ජෝන්ගේ ක්රියාකලාපය ගැන හිටපු ජනපතිනිය කථා කරයි
4.40954,1.5430173,76,ජී.එස්.පී. ප්ලස් තාවකාලික ආර්ථික ප්රතිලාභයක් - මහින්දගෙන් ප්රකාශයක්
11.406863,1.6678691,320,"රක්ෂණ ආවරණය ගන්න අවුරුදු 08ක් වයසැති දියණිය ඝාතනය කළ පියා, සැඟව සිටියදී අත්අඩංගුවට "
13.407809,5.5924273,183,හෙට සිට මං තීරු නීතිය දැඩිව ක්රියාත්මක කරන බව පොලීසිය කියයි
11.379237,2.0667226,320,පැහැරගෙන ගිය තරුණිය බේරී පැමිණි අමුතු උපක්රමය
11.762005,6.544158,246,නිවාඩු අවලංගු කළත් තැපැල් සේවකයන් වර්ජනයේ
7.300177,3.711553,190,ඉදිරි මැතිවරණයකින් පසුවත් ජාතික ආණ්ඩුවක් ගැන එජාපය කථා කරයි
7.4837556,0.64015436,268,ඥානසාර හිමියන්ගෙන් මුලික අයිතිවාසිකම් පෙත්සමක්
7.6338606,1.7799903,187,මංගලගෙන් මහින්දට පිළිතුරු
11.522724,4.784691,308,සීනි තොග මිල රුපියල් 3කින් අඩු කළ බව ආනයනකරුවන් කියයි
7.5069704,4.271548,190,බැඳීම් ශක්තිමත් වන උත්සහයක් ගැන හිටපු ජනපති කියයි
13.838978,9.924793,233,උඩුදුම්බර දී රිය අනතුරකින් පුද්ගලයෙකු මරුට
13.7828045,9.895797,233,කිරිඳිවැල අනතුරකින් පුද්ගලයින් දෙදෙනෙකු මරුට
8.707127,2.0380301,261,බැඳුම්කර නිකුතුව ගැන විගණකාධිපතිගෙන් නව හෙළිදරව්වක්
12.05821,6.6433177,246,අද මධ්යම රාත්රියේ ක්රියාත්මක කිරීමට නියමිතව තිබූ දුම්රිය වර්ජනය අත්හිටුවයි
10.84049,2.6559036,320,තුන්වතාවක් උත්සාහ කළත් නොලැබුණු දේ නිසා උත්සාහය අත් නොහළ ලාංකිකයා ජයගත් හැටි
7.7405663,2.155085,187,ඇමති අකිල විරාජ්ට අස්ගිරි පාර්ශවයෙන් දැනුම්දීමක්
7.4108634,4.3504705,190,ඩෙංගු ව්යසනය සුළු කොට නොතකන බව අගමැති කියයි
11.35016,1.8593893,320,15 පාසල් සිසුවියට කට්ටඩියා කළ අමුතු ශාන්ති කර්මය
11.476546,6.616074,246,වෛද්යවරුන්ගේ වර්ජනය අඛන්ඩව ක්රියාත්මක කිරීමට තීරණය කරයි
7.470227,3.770831,190,සයිටම් ගැටලූව ගැන ජනපති කතා කරයි
11.080554,8.434198,28,Update : අන්තරේ කැදවුම්කරු ලබන 5 වන දා දක්වා රිමාන්ඩ්
8.462555,5.454307,135,රාමඤ්ඤ නිකායේ මහ නාහිමිගෙන් විශේෂ නිවේදනයක්
11.253832,8.192578,28,Update - ජනපති සමග සාකච්ඡාවෙන් පසු වෛද්ය වර්ජනය අවසන්
13.140584,1.166893,291,විශ්රාමික පොලිස් නිලධාරියෙකුගේ මළ සිරුරක් නිවසකින් හමුවෙයි 
8.395786,4.33399,278,ආණ්ඩුව පෝය දිනයන්හි පවා තැබෑරුම් විවෘත කිරීමේ උත්සාහයක - මහින්ද රාජපක්ෂ
11.339292,8.485581,28,Update - කඹුරුපිටියේ දරුවන් තුන්දෙනාගේ සහ පියාගේ මරණ පිළිබඳ මහේස්ත්රාත් පරීක්ෂණ ඇරඹේ 
11.9617,6.7157273,246,තැපැල් වර්ජනය අඛණ්ඩව
11.444427,1.95475,320,පියාගේ අවවාදය නිසා දිවි එපා වූ පාසල් ශිෂ්යාව
4.387723,1.240976,76,නියෝජ්ය අමාත්ය අරුන්දික ප්රනාන්දු එෆ්.සී.අයි.ඩී.යට පැමිණේ
13.852068,9.883518,233,යතුරුපැදි අනතුරකින් දෙදෙනෙකු ජීවිතක්ෂයට
4.1695147,1.0715159,76,එස්.ටී.එෆ්. ආරක්ෂාව මැද දෑලතුරට කසළ බැහැර කෙරේ
8.751409,3.7696686,278,තීරණය අපේ අතේ - ආණ්ඩුව
11.685361,5.9852486,229,"මහනුවර, රජරට, කොළඹ අදත් සරසවි සිසු උද්ඝෝෂණ."
13.250167,1.137016,291,ද. කළුතර රබර් වත්තකින් නාඳුනන කාන්තා මළ සිරුරක්.
9.507551,3.6929226,283,කොටි ගැන නිහඬ ඇයි ? - ශ්රී ලංකාව විමසයි.
4.6082044,1.428111,76,එජාපයේ වැඩ නොකරන සංවිධායකවරුන් ගැන එස්.එම්.එස්. තොරතුරු.
7.84169,2.108221,187,ඉඩම් ඇමතිගෙන් කාන්තාවන්ට පොරොන්දුවක්.
8.602384,4.4405394,278,රටේ නිදහස රැක ගැනීම සඳහා එක්වන්න - රජය.
6.5706706,6.40242,35,සුප්රකට හොලිවුඩ් සිනමාකරු ස්පීල්බර්ග් ශ්රී ලංකාවට.
8.349664,5.442127,135,ඇමති තොන්ඩමන් අස්ගිරි මහානාහිමි බැහැදකී.
8.649908,4.102492,278,විදේශීය බලපෑම්වලට යටත් වන්නේ නැහැ. - ජනපති.
8.671747,3.6516159,278,ක්රීඩාවට දේශපාලනය ඈදීම අවාසනාවන්ත තත්ත්වයක්. - ප්රසාද් කාරියවසම්.
13.165759,1.1737889,291,මින්නේරියේ නිවසක් තුළ තරුණ යුවලකගේ මළ සිරුරු.
8.934142,3.5791316,278,IPL යන්න එපා. - රාවණා බලයෙන් සංදේශයක්.
8.462352,4.3260484,278,නිරෝගිමත් පරපුරකට රට ගොඩනැංවිය හැකියි. - ජනපති කියයි.
13.948173,9.542175,233,කඩුවෙල - අවිස්සාවේල්ල මාර්ගයේ සිදුවූ රිය අනතුරකින් 5 දෙනෙකු රෝහලේ.
6.100379,6.5622077,35,පාලක මණ්ඩලය ක්රීඩකයින් සමග සාකච්ඡාවකට සැරසේ.
6.098347,6.624851,35,"සංගා, මහේල, ඩිල්ශාන් ඇතුළු ක්රීඩකයින් IPL යාමට තීරණය කරයි."
